series,date,twd_predawn,mds,n_obs,mds_max,twd_norm,mds_norm,drought_stress_onset
P11,2024-08-23,1160,1311,96,2030.3599999999997,0.5713272523099353,0.645698299808901,FALSE
P11,2024-08-24,1185,1370,96,2030.3599999999997,0.5836403396442011,0.6747571859177683,FALSE
P11,2024-08-25,1188,1364,96,2030.3599999999997,0.585117910124313,0.6718020449575446,FALSE
P11,2024-08-26,536,1262,96,2030.3599999999997,0.26399259244665974,0.62156464863374,FALSE
P11,2024-08-27,341,793,96,2030.3599999999997,0.16795051123938615,0.3905711302429126,FALSE
P11,2024-08-28,422,712,96,2030.3599999999997,0.2078449142024075,0.3506767272798913,FALSE
P11,2024-08-29,513,697,96,2030.3599999999997,0.2526645520991352,0.3432888748793318,FALSE
P11,2024-08-30,535,874,96,2030.3599999999997,0.2635000689532891,0.430465533205934,FALSE
P11,2024-08-31,655,990,96,2030.3599999999997,0.32260288815776517,0.4875982584369275,FALSE
P11,2024-09-01,737,1070,96,2030.3599999999997,0.36298981461415714,0.5270001379065782,FALSE
P11,2024-09-02,1038,1316,96,2030.3599999999997,0.511239386118718,0.6481609172757542,FALSE
P11,2024-09-03,1012,1266,96,2030.3599999999997,0.49843377529108146,0.6235347426072224,FALSE
P11,2024-09-04,1049,1188,96,2030.3599999999997,0.5166571445457949,0.585117910124313,FALSE
P11,2024-09-05,1059,1165,96,2030.3599999999997,0.5215823794795013,0.5737898697767885,FALSE
P11,2024-09-06,303,1203,96,2030.3599999999997,0.14923461849130207,0.5925057625248725,FALSE
P11,2024-09-07,303,471,96,2030.3599999999997,0.14923461849130207,0.23197856537756856,FALSE
P11,2024-09-08,467,660,96,2030.3599999999997,0.230008471404086,0.32506550562461833,FALSE
P11,2024-09-09,604,770,96,2030.3599999999997,0.29748418999586285,0.3792430898953881,FALSE
P11,2024-09-10,752,901,96,2030.3599999999997,0.37037766701471664,0.44376366752694113,FALSE
P11,2024-09-11,875,1029,96,2030.3599999999997,0.43095805669930465,0.5068066746783823,FALSE
P11,2024-09-12,956,1091,96,2030.3599999999997,0.470852459662326,0.5373431312673616,FALSE
P11,2024-09-13,1034,1229,96,2030.3599999999997,0.5092692921452354,0.6053113733525091,FALSE
P11,2024-09-14,1060,1318,96,2030.3599999999997,0.5220749029728718,0.6491459642624954,FALSE
P11,2024-09-15,1077,1348,96,2030.3599999999997,0.5304478023601726,0.6639216690636145,FALSE
P11,2024-09-16,1033,1376,96,2030.3599999999997,0.5087767686518648,0.6777123268779922,FALSE
P11,2024-09-17,980,1351,96,2030.3599999999997,0.48267302350322117,0.6653992395437264,FALSE
P11,2024-09-18,1119,1407,96,2030.3599999999997,0.5511337890817393,0.6929805551724818,FALSE
P11,2024-09-19,1230,1409,96,2030.3599999999997,0.6058038968458797,0.6939656021592231,FALSE
P11,2024-09-20,1338,1448,96,2030.3599999999997,0.658996434129908,0.7131740184006778,FALSE
P11,2024-09-21,1180,1439,96,2030.3599999999997,0.581177722177348,0.7087413069603421,FALSE
P11,2024-09-22,1329,1565,96,2030.3599999999997,0.6545637226895724,0.770799267125042,FALSE
P11,2024-09-23,1252,1441,96,2030.3599999999997,0.6166394137000336,0.7097263539470834,FALSE
P11,2024-09-24,1387,1519,96,2030.3599999999997,0.6831300853050691,0.7481431864299928,FALSE
P11,2024-09-25,1397,1515,96,2030.3599999999997,0.6880553202387755,0.7461730924565103,FALSE
P11,2024-09-26,1376,1472,96,2030.3599999999997,0.6777123268779922,0.7249945822415731,FALSE
P11,2024-09-27,1401,1485,96,2030.3599999999997,0.690025414212258,0.7313973876553913,FALSE
P11,2024-09-28,1393,1491,96,2030.3599999999997,0.686085226265293,0.7343525286156151,FALSE
P11,2024-09-29,1426,1536,96,2030.3599999999997,0.7023385015465239,0.7565160858172936,FALSE
P11,2024-09-30,1440,1514,96,2030.3599999999997,0.7092338304537128,0.7456805689631396,FALSE
P11,2024-10-01,1430,1534,96,2030.3599999999997,0.7043085955200065,0.7555310388305524,FALSE
P11,2024-10-02,1492,1565,96,2030.3599999999997,0.7348450521089858,0.770799267125042,FALSE
P11,2024-10-03,1503,1582,96,2030.3599999999997,0.7402628105360627,0.7791721665123428,FALSE
P11,2024-10-04,1489,1557,96,2030.3599999999997,0.7333674816288738,0.7668590791780769,FALSE
P11,2024-10-05,1475,1567,96,2030.3599999999997,0.726472152721685,0.7717843141117833,FALSE
P11,2024-10-06,1522,1576,96,2030.3599999999997,0.7496207569101048,0.7762170255521189,FALSE
P11,2024-10-07,1509,1581,96,2030.3599999999997,0.7432179514962864,0.7786796430189721,FALSE
P11,2024-10-08,1501,1578,96,2030.3599999999997,0.7392777635493214,0.7772020725388602,FALSE
P11,2024-10-09,1520,1581,96,2030.3599999999997,0.7486357099233635,0.7786796430189721,FALSE
P11,2024-10-10,1524,1579,96,2030.3599999999997,0.750605803896846,0.7776945960322309,FALSE
P11,2024-10-11,1528,1582,96,2030.3599999999997,0.7525758978703285,0.7791721665123428,FALSE
P11,2024-10-12,1547,1584,96,2030.3599999999997,0.7619338442443706,0.7801572134990841,FALSE
P11,2024-10-13,1562,1584,96,2030.3599999999997,0.7693216966449301,0.7801572134990841,FALSE
P11,2024-10-14,1561,1606,96,2030.3599999999997,0.7688291731515594,0.790992730353238,FALSE
P11,2024-10-15,1582,1615,96,2030.3599999999997,0.7791721665123428,0.7954254417935737,FALSE
P11,2024-10-16,1567,1627,96,2030.3599999999997,0.7717843141117833,0.8013357237140213,FALSE
P11,2024-10-17,1570,1625,96,2030.3599999999997,0.7732618845918952,0.80035067672728,FALSE
P11,2024-10-18,1546,1630,96,2030.3599999999997,0.7614413207509999,0.8028132941941332,FALSE
P11,2024-10-19,1180,1631,96,2030.3599999999997,0.581177722177348,0.8033058176875039,FALSE
P11,2024-10-20,598,1179,96,2030.3599999999997,0.29452904903563903,0.5806851986839773,FALSE
P11,2024-10-21,599,776,96,2030.3599999999997,0.2950215725290097,0.3821982308556119,FALSE
P11,2024-10-22,753,1035,96,2030.3599999999997,0.3708701905080873,0.509761815638606,FALSE
P11,2024-10-23,996,1338,96,2030.3599999999997,0.4905533993971513,0.658996434129908,FALSE
P11,2024-10-24,1197,1465,96,2030.3599999999997,0.5895506215646488,0.7215469177879786,FALSE
P11,2024-10-25,1355,1563,96,2030.3599999999997,0.6673693335172088,0.7698142201383007,FALSE
P11,2024-10-26,1376,1520,96,2030.3599999999997,0.6777123268779922,0.7486357099233635,FALSE
P11,2024-10-27,1468,1623,96,2030.3599999999997,0.7230244882680905,0.7993656297405387,FALSE
P11,2024-10-28,1515,1627,96,2030.3599999999997,0.7461730924565103,0.8013357237140213,FALSE
P11,2024-10-29,1570,1685,96,2030.3599999999997,0.7732618845918952,0.829902086329518,FALSE
P11,2024-10-30,1647,1784,96,2030.3599999999997,0.811186193581434,0.8786619121732108,FALSE
P11,2024-10-31,1664,1728,96,2030.3599999999997,0.8195590929687347,0.8510805965444553,FALSE
P11,2024-11-01,1694,1750,96,2030.3599999999997,0.8343347977698538,0.8619161133986093,FALSE
P11,2024-11-02,1730,1798,96,2030.3599999999997,0.8520656435311966,0.8855572410803997,FALSE
P11,2024-11-03,1766,1849,92,2030.3599999999997,0.8697964892925394,0.9106759392423021,FALSE
P11,2024-11-04,1397,1802,96,2030.3599999999997,0.6880553202387755,0.8875273350538823,FALSE
P11,2024-11-05,607,1399,96,2030.3599999999997,0.2989617604759747,0.6890403672255168,FALSE
P11,2024-11-06,611,726,96,2030.3599999999997,0.3009318544494573,0.35757205618708016,FALSE
P11,2024-11-07,621,740,96,2030.3599999999997,0.30585708938316364,0.36446738509426907,FALSE
P11,2024-11-08,607,745,96,2030.3599999999997,0.2989617604759747,0.36693000256112224,FALSE
P11,2024-11-09,512,687,96,2030.3599999999997,0.25217202860576454,0.33836363994562546,FALSE
P11,2024-11-10,548,636,96,2030.3599999999997,0.26990287436710736,0.31324494178372314,FALSE
P11,2024-11-11,636,852,96,2030.3599999999997,0.31324494178372314,0.41963001635178004,FALSE
P11,2024-11-12,810,970,96,2030.3599999999997,0.3989440296302134,0.47774778856951483,FALSE
P11,2024-11-13,934,1122,96,2030.3599999999997,0.460016942808172,0.5526113595618511,FALSE
P11,2024-11-14,1006,1075,96,2030.3599999999997,0.49547863433085765,0.5294627553734313,FALSE
P11,2024-11-15,1021,1113,96,2030.3599999999997,0.5028664867314172,0.5481786481215155,FALSE
P11,2024-11-16,1084,1260,96,2030.3599999999997,0.5338954668137671,0.6205796016469987,FALSE
P11,2024-11-17,1094,1246,96,2030.3599999999997,0.5388207017474734,0.6136842727398097,FALSE
P11,2024-11-18,272,1094,96,2030.3599999999997,0.13396639019681242,0.5388207017474734,FALSE
P11,2024-11-19,248,541,96,2030.3599999999997,0.1221458263559172,0.2664552099135129,FALSE
P11,2024-11-20,496,677,96,2030.3599999999997,0.2442916527118344,0.3334384050119191,FALSE
P11,2024-11-21,662,829,96,2030.3599999999997,0.3260505526113596,0.4083019760042555,FALSE
P11,2024-11-22,851,1035,96,2030.3599999999997,0.4191374928584094,0.509761815638606,FALSE
P11,2024-11-23,1022,1139,96,2030.3599999999997,0.5033590102247878,0.5609842589491519,FALSE
P11,2024-11-24,1055,1165,96,2030.3599999999997,0.5196122855060187,0.5737898697767885,FALSE
P11,2024-11-25,1056,1199,96,2030.3599999999997,0.5201048089993894,0.59053566855139,FALSE
P11,2024-11-26,1044,1150,96,2030.3599999999997,0.5141945270789418,0.566402017376229,FALSE
P11,2024-11-27,1038,1138,96,2030.3599999999997,0.511239386118718,0.5604917354557813,FALSE
P11,2024-11-28,881,1085,96,2030.3599999999997,0.4339131976595284,0.5343879903071377,FALSE
P11,2024-11-29,845,963,96,2030.3599999999997,0.4161823518981856,0.47430012411592043,FALSE
P11,2024-11-30,875,974,96,2030.3599999999997,0.43095805669930465,0.47971788254299735,FALSE
P11,2024-12-01,930,1043,96,2030.3599999999997,0.4580468488346895,0.5137020035855712,FALSE
P11,2024-12-02,1021,1094,96,2030.3599999999997,0.5028664867314172,0.5388207017474734,FALSE
P11,2024-12-03,982,1105,96,2030.3599999999997,0.48365807048996245,0.5442384601745505,FALSE
P11,2024-12-04,854,1060,96,2030.3599999999997,0.42061506333852133,0.5220749029728718,FALSE
P11,2024-12-05,857,992,96,2030.3599999999997,0.4220926338186332,0.4885833054236688,FALSE
P11,2024-12-06,870,994,96,2030.3599999999997,0.4284954392324515,0.4895683524104101,FALSE
P11,2024-12-07,863,947,96,2030.3599999999997,0.425047774778857,0.4664197482219903,FALSE
P11,2024-12-08,865,954,96,2030.3599999999997,0.4260328217655983,0.4698674126755847,FALSE
P11,2024-12-09,884,1017,96,2030.3599999999997,0.43539076813964034,0.5008963927579346,FALSE
P11,2024-12-10,959,1179,96,2030.3599999999997,0.47233003014243785,0.5806851986839773,FALSE
P11,2024-12-11,940,1230,96,2030.3599999999997,0.4629720837683958,0.6058038968458797,FALSE
